4302;documentid;jobid;jobtype;startdate;starttime;activetime;idletime;readydate;readytime;result;username;jobname;costcentre;custom;accountid;jobaddressee;nofscana4;nofscana3;nofsinglestaples;nofdoublestaples;noffinishedsets;outputdestination;nofprinteda4bw;nofprinteda4c;nofprinteda3bw;nofprinteda3c;tonerblack;tonercolor;nofsimplex1;nofduplex1;mediaformat1;mediatype1;mediaweight1;mediacolor1;medianame1;cyclelength1;isinsert1;istab1;punchcount1;nofsimplex2;nofduplex2;mediaformat2;mediatype2;mediaweight2;mediacolor2;medianame2;cyclelength2;isinsert2;istab2;punchcount2;nofsimplex3;nofduplex3;mediaformat3;mediatype3;mediaweight3;mediacolor3;medianame3;cyclelength3;isinsert3;istab3;punchcount3;nofsimplex4;nofduplex4;mediaformat4;mediatype4;mediaweight4;mediacolor4;medianame4;cyclelength4;isinsert4;istab4;punchcount4;nofsimplex5;nofduplex5;mediaformat5;mediatype5;mediaweight5;mediacolor5;medianame5;cyclelength5;isinsert5;istab5;punchcount5;nofsimplex6;nofduplex6;mediaformat6;mediatype6;mediaweight6;mediacolor6;medianame6;cyclelength6;isinsert6;istab6;punchcount6;nofsimplex7;nofduplex7;mediaformat7;mediatype7;mediaweight7;mediacolor7;medianame7;cyclelength7;isinsert7;istab7;punchcount7;nofsimplex8;nofduplex8;mediaformat8;mediatype8;mediaweight8;mediacolor8;medianame8;cyclelength8;isinsert8;istab8;punchcount8;nofsimplex9;nofduplex9;mediaformat9;mediatype9;mediaweight9;mediacolor9;medianame9;cyclelength9;isinsert9;istab9;punchcount9;nofsimplex10;nofduplex10;mediaformat10;mediatype10;mediaweight10;mediacolor10;medianame10;cyclelength10;isinsert10;istab10;punchcount10;nofsimplex11;nofduplex11;mediaformat11;mediatype11;mediaweight11;mediacolor11;medianame11;cyclelength11;isinsert11;istab11;punchcount11;nofsimplex12;nofduplex12;mediaformat12;mediatype12;mediaweight12;mediacolor12;medianame12;cyclelength12;isinsert12;istab12;punchcount12;nofsimplex13;nofduplex13;mediaformat13;mediatype13;mediaweight13;mediacolor13;medianame13;cyclelength13;isinsert13;istab13;punchcount13;nofsimplex14;nofduplex14;mediaformat14;mediatype14;mediaweight14;mediacolor14;medianame14;cyclelength14;isinsert14;istab14;punchcount14;nofsimplex15;nofduplex15;mediaformat15;mediatype15;mediaweight15;mediacolor15;medianame15;cyclelength15;isinsert15;istab15;punchcount15;nofsimplex16;nofduplex16;mediaformat16;mediatype16;mediaweight16;mediacolor16;medianame16;cyclelength16;isinsert16;istab16;punchcount16;nofpunches;nofcreases;noffolds;nofbooklets;nofbinds;operatorname;nofprintedXLbw;nofprintedXLc;surfaceareablack;surfaceareacolor;pagelengthblack;pagelengthcolor;inkblack;inkcolorcyan;inkcolormagenta;inkcoloryellow;inkcolorblack;colorgrip;nofprinteda4micr;nofprinteda3micr;nofprintedXLmicr;inkmicr;nofsheetspulled1;nofsheetspulled2;nofsheetspulled3;nofsheetspulled4;nofsheetspulled5;nofsheetspulled6;nofsheetspulled7;nofsheetspulled8;nofsheetspulled9;nofsheetspulled10;nofsheetspulled11;nofsheetspulled12;nofsheetspulled13;nofsheetspulled14;nofsheetspulled15;nofsheetspulled16;mediaprintmode1;mediaprintmode2;mediaprintmode3;mediaprintmode4;mediaprintmode5;mediaprintmode6;mediaprintmode7;mediaprintmode8;mediaprintmode9;mediaprintmode10;mediaprintmode11;mediaprintmode12;mediaprintmode13;mediaprintmode14;mediaprintmode15;mediaprintmode16;nofprinteda4low;nofprinteda4med;nofprinteda4high;nofprinteda3low;nofprinteda3med;nofprinteda3high;nofperforates
4303;;172965;IP;2025-04-16;00:50:44;0:04:09;0:00:00;2025-04-16;00:54:53;Done;03341962-1;innerwork_3341511;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;328;0;;;0;328;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;44.01;0.00;144.32;0.00;15825;230;220;220;0;33150;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172966;IP;2025-04-16;00:53:03;0:03:27;0:00:00;2025-04-16;00:56:30;Done;03341959-1;innerwork_3341375;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;216;0;;;0;216;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;28.98;0.00;95.04;0.00;7331;151;145;145;0;15382;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172720;IP;2025-04-16;00:59:12;0:02:47;0:00:00;2025-04-16;01:01:59;Done;03340385-1-74;innerwork_3338674-3340116;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;92;58;;;0;150;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;12.34;7.78;40.48;25.52;2521;187;164;129;1502;8668;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;58;0;0;0
4303;;172967;IP;2025-04-16;01:03:01;0:04:06;0:00:01;2025-04-16;01:07:08;Done;03341863-1-76;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;306;0;;;0;306;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;41.06;0.00;134.64;0.00;9668;214;205;205;0;16667;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172968;IP;2025-04-16;01:05:20;0:03:08;0:00:00;2025-04-16;01:08:28;Done;03341863-1-75;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;172;0;;;0;172;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;23.08;0.00;75.68;0.00;4444;120;115;115;0;10095;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172969;IP;2025-04-16;01:06:27;0:02:42;0:00:00;2025-04-16;01:09:09;Done;03341863-1-74;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;108;0;;;0;108;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;14.49;0.00;47.52;0.00;3225;75;72;72;0;6961;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172970;IP;2025-04-16;01:07:09;0:04:12;0:00:00;2025-04-16;01:11:21;Done;03341863-1-73;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;306;0;;;0;306;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;41.06;0.00;134.64;0.00;9667;214;205;205;0;16664;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172971;IP;2025-04-16;01:09:19;0:02:54;0:00:00;2025-04-16;01:12:13;Done;03341863-1-72;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;132;0;;;0;132;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;17.71;0.00;58.08;0.00;4886;92;88;88;0;9248;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172972;IP;2025-04-16;01:10:24;0:02:32;0:00:00;2025-04-16;01:12:56;Done;03341863-1-71;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;112;0;;;0;112;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;15.03;0.00;49.28;0.00;3042;78;75;75;0;6757;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172973;IP;2025-04-16;01:11:09;0:02:43;0:00:00;2025-04-16;01:13:52;Done;03341863-1-70;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;108;0;;;0;108;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;14.49;0.00;47.52;0.00;2690;75;72;72;0;5791;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172974;IP;2025-04-16;01:11:51;0:02:38;0:00:00;2025-04-16;01:14:29;Done;03341863-1-69;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;96;0;;;0;96;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;12.88;0.00;42.24;0.00;3093;67;64;64;0;6166;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172975;IP;2025-04-16;01:12:28;0:02:37;0:00:01;2025-04-16;01:15:06;Done;03341863-1-68;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;94;0;;;0;94;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;12.61;0.00;41.36;0.00;2728;65;63;63;0;5321;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
4303;;172976;IP;2025-04-16;01:13:17;0:02:28;0:00:00;2025-04-16;01:15:45;Done;03341863-1-67;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;0;102;;;0;102;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;0.00;13.68;0.00;44.88;0;73;70;70;2171;4936;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;102;0;0;0
4303;;172977;IP;2025-04-16;01:13:58;0:02:51;0:00:00;2025-04-16;01:16:49;Done;03341863-1-66;innerwork_3340919-3341748;;;;;;;0;0;1;StackerHCS3 1 Main Tray;0;0;0;130;;;0;130;Custom 305.0x440.0;Plain;80;White;PrePrint 80g 305x440 DPR806;1;n;n;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;0.00;17.44;0.00;57.20;0;381;388;402;1889;4200;0;0;0;0;;;;;;;;;;;;;;;;;StandardQuality;;;;;;;;;;;;;;;;0;0;0;130;0;0;0
